estado,municipio,clave_marco_geoestadistico,url_consulta
Campeche,Calkiní,04001,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32615&LAYERS=lotificacion&BBOX=761101.33208692,2225916.13522204,829083.089502963,2308595.81964746&edoMun=04001"
Campeche,Campeche,04002,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32615&LAYERS=lotificacion&BBOX=607325.941504459,2125588.63605545,828032.35833683,2237673.54475982&edoMun=04002"
Campeche,Carmen,04003,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32615&LAYERS=lotificacion&BBOX=556275.757195415,1976320.43914747,732031.491621114,2105860.48135862&edoMun=04003"
Campeche,Champotón,04004,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32615&LAYERS=lotificacion&BBOX=691519.383504594,2054500.02314033,824130.908012291,2180015.99541784&edoMun=04004"
Campeche,Hecelchakán,04005,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32615&LAYERS=lotificacion&BBOX=762218.753008586,2204182.68980968,828486.433916721,2244645.74873989&edoMun=04005"
Campeche,Hopelchén,04006,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32616&LAYERS=lotificacion&BBOX=174862.813075205,2089605.08574272,276839.210123731,2236077.28938387&edoMun=04006"
Campeche,Palizada,04007,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32615&LAYERS=lotificacion&BBOX=582564.327648371,1983190.87379236,641674.343280226,2055899.38495521&edoMun=04007"
Campeche,Tenabo,04008,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32615&LAYERS=lotificacion&BBOX=762858.52494214,2189654.5577828,814563.054505846,2230088.70252794&edoMun=04008"
Campeche,Escárcega,04009,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32615&LAYERS=lotificacion&BBOX=708390.842300563,2009718.79681787,811903.347983634,2103236.15050367&edoMun=04009"
Campeche,Calakmul,04010,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32616&LAYERS=lotificacion&BBOX=155563.630170844,1972667.59902724,276917.57520726,2120110.96114938&edoMun=04010"
Campeche,Candelaria,04011,"http://www.ide-sedatu.mx/lotificacion?SERVICE=WMS&VERSION=1.1.1&REQUEST=GETMAP&FORMAT=image/png&TRANSPARENT=TRUE&SRS=EPSG:32615&LAYERS=lotificacion&BBOX=677177.785069959,1970273.39067542,791894.657939905,2048592.42500789&edoMun=04011"
